bid_price,bid_qty,ask_price,ask_qty
7054.08000000,1.16913200,7054.09000000,0.92148000
7054.06000000,0.12421600,7054.54000000,0.00191100
7053.16000000,0.02952800,7054.66000000,0.01999000
7053.04000000,0.19460600,7054.69000000,0.00496900
7053.03000000,0.16735000,7054.99000000,0.07519100
7053.00000000,0.02720100,7055.00000000,0.07512000
7052.83000000,0.11226900,7055.31000000,0.50238900
7052.82000000,0.01931800,7055.34000000,0.20000000
7052.81000000,0.09293500,7055.36000000,0.00212100
7052.69000000,0.57416200,7055.38000000,0.30020200
7052.68000000,0.30020200,7055.70000000,0.38222300
7052.66000000,0.27389500,7055.77000000,0.38215100
7052.58000000,0.00218000,7055.83000000,0.07483400
7052.50000000,0.00354400,7055.85000000,0.00212100
7052.47000000,0.18973000,7055.91000000,0.28845700
7052.40000000,0.18748300,7056.10000000,0.00708300
7052.39000000,0.00218000,7056.12000000,0.00212100
7052.36000000,0.10300000,7056.28000000,0.40836000
7052.30000000,0.14024900,7056.29000000,0.40000000
7052.29000000,0.04000000,7056.30000000,0.00833100
7052.10000000,1.00007000,7056.67000000,0.42176200
7052.09000000,0.40000000,7056.68000000,0.40000000
7052.07000000,0.81668600,7056.69000000,0.02168800
7052.06000000,0.70782400,7056.82000000,0.29151000
7052.00000000,0.06417600,7056.83000000,0.01043500
7051.91000000,0.84183200,7056.85000000,0.28100000
7051.90000000,0.70000000,7057.00000000,0.43868100
7051.88000000,0.14175600,7057.01000000,0.00212100
7051.79000000,0.21259900,7057.05000000,0.43652400
7051.71000000,0.04254300,7057.16000000,1.00007300
7051.69000000,0.01418100,7057.17000000,0.00212000
7051.65000000,0.00142200,7057.20000000,2.55292900
7051.44000000,0.10000000,7057.44000000,0.09777700
7051.31000000,0.05500000,7057.55000000,1.19082600
7051.27000000,0.41888100,7058.00000000,0.24045900
7051.19000000,0.44339000,7058.03000000,0.14175600
7051.10000000,1.07723300,7058.05000000,0.38088200
7051.05000000,0.09594800,7058.08000000,2.64701200
7051.01000000,0.00500000,7058.10000000,0.29400000
7050.98000000,3.20000000,7058.35000000,0.02463200
7050.96000000,0.14100000,7058.36000000,1.19069200
7050.91000000,0.07388400,7058.43000000,0.00966700
7050.72000000,0.20000000,7058.53000000,0.00707300
7050.71000000,0.11900000,7058.60000000,0.67859300
7050.64000000,0.21600900,7058.68000000,0.20000000
7050.63000000,0.09522900,7058.69000000,0.04000000
7050.50000000,0.30548600,7058.70000000,0.00150000
7050.30000000,0.21000000,7058.86000000,1.41212000
7050.27000000,0.20000000,7058.97000000,0.00150000
7050.25000000,0.12317500,7059.03000000,0.14173400
7050.24000000,1.91057100,7059.23000000,0.70797100
7050.00000000,0.81756000,7059.30000000,0.02463100
7049.97000000,0.03010200,7059.60000000,0.04926200
7049.94000000,0.21743800,7059.65000000,0.07388400
7049.90000000,0.22164500,7059.73000000,2.34145500
7049.84000000,0.45333400,7059.76000000,0.05500000
7049.80000000,0.02463100,7059.77000000,0.69100000
7049.78000000,0.09859400,7059.78000000,0.29562200
7049.75000000,0.02894200,7059.88000000,0.28329100
7049.61000000,0.05997200,7059.89000000,0.00212000
7049.58000000,0.17992800,7060.00000000,0.10523700
7049.51000000,3.79984700,7060.03000000,0.22478200
7049.36000000,0.06500000,7060.04000000,0.00300000
7049.16000000,0.11051000,7060.17000000,0.01693700
7049.05000000,0.02500000,7060.25000000,0.41795100
7049.04000000,0.00309000,7060.63000000,0.02961100
7049.01000000,0.29567100,7060.82000000,0.06500000
7049.00000000,0.01749600,7061.00000000,0.22832800
7048.91000000,1.41000000,7061.08000000,0.12451400
7048.87000000,0.14778700,7061.10000000,0.42488500
7048.84000000,0.00400000,7061.26000000,0.30600000
7048.80000000,0.04926200,7061.28000000,0.39600000
7048.71000000,0.00150000,7061.35000000,2.34095000
7048.70000000,7.10900000,7061.44000000,0.28322800
7048.51000000,1.91103900,7061.45000000,0.05533700
7048.40000000,0.42550700,7061.51000000,3.20000000
7048.35000000,0.25556300,7061.71000000,0.24000000
7048.21000000,0.00709400,7062.00000000,0.14976800
7048.11000000,0.00156100,7062.05000000,0.12314400
7048.09000000,0.28376400,7062.50000000,0.00354100
7048.08000000,0.30000000,7062.92000000,0.02564500
7048.01000000,0.00500000,7062.99000000,0.41200000
7048.00000000,0.11160600,7063.02000000,1.00000000
7047.95000000,0.00350000,7063.21000000,0.85260300
7047.69000000,0.11944000,7063.69000000,0.17348000
7047.53000000,0.44336000,7063.71000000,0.00397200
7047.33000000,0.40000000,7064.08000000,0.04246800
7047.20000000,0.28380100,7064.09000000,0.00300000
7046.97000000,0.00291000,7064.10000000,0.00150000
7046.77000000,1.10038400,7064.11000000,0.08536600
7046.60000000,0.25000000,7064.16000000,0.00350000
7046.29000000,0.42550700,7064.23000000,6.64200000
7046.22000000,0.29400000,7064.50000000,0.40400000
7046.15000000,0.10280000,7064.62000000,0.69861800
7046.00000000,0.01131500,7064.75000000,0.12600500
7045.89000000,0.42375700,7064.84000000,0.14778700
7045.87000000,0.04530500,7065.00000000,0.08107100
7045.86000000,0.25692500,7065.02000000,0.00500000
7045.77000000,0.00300000,7065.32000000,0.03464000
7045.66000000,1.72221000,7065.33000000,0.42461200
